date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-16,"Piso en calle de los Doscientos, 17, Benalúa, Alicante / Alacant",1.200€/mesGaraje incluido,2 hab.75 m²Planta 3ª exterior con ascensor27 minutos,1/12,,,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106278969/,
2024-10-16,"Ático en calle Moratín, 25, Benalúa, Alicante / Alacant",3.000€/mesGaraje incluido,3 hab.275 m²Planta 7ª exterior con ascensor,1/24,Vistas al marLujo,/pro/knelite/,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/102458982/,
2024-10-16,"Piso en Babel, Alicante / Alacant",950€/mesGaraje incluido,3 hab.146 m²Planta 7ª exterior con ascensor53 minutos,1/23,,/pro/best-house-alicante-vista-hermosa/,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106278272/,
2024-10-16,"Piso en calle Foglietti, Benalúa, Alicante / Alacant",1.300€/mesGaraje incluido,4 hab.130 m²Planta 2ª exterior con ascensor,1/31,,,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/105668901/,
2024-10-16,"Piso en La Florida Portazgo, Alicante / Alacant",900€/mes,2 hab.63 m²Bajo exterior sin ascensor59 minutos,1/12,,/pro/inmogallery/,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106278119/,
2024-10-16,"Piso en calle Virgen de Guadalupe, Ciudad de Asís, Alicante / Alacant",700€/mes,3 hab.65 m²Planta 4ª exterior sin ascensor,1/23,,,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106002279/,
2024-10-16,"Piso en Princesa Mercedes, Alicante / Alacant",850€/mes,2 hab.70 m²Bajo exterior sin ascensor2 horas,1/27,,,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106275824/,
2024-10-16,"Piso en Ciudad de Asís, Alicante / Alacant",795€/mes,3 hab.62 m²Planta 1ª exterior sin ascensor,1/31,Reformado,,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/105578457/,
2024-10-16,"Piso en avenida Catedratico Soler, 38, Benalúa, Alicante / Alacant",1.400€/mesGaraje incluido,3 hab.122 m²Planta 4ª exterior con ascensor4 horas,1/12,,,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106269254/,
2024-10-16,"Piso en calle Santa Maria Mazzarelo, Benalúa, Alicante / Alacant",950€/mes,2 hab.60 m²Planta 3ª exterior con ascensor,1/31,,,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106204938/,
2024-10-16,"Piso en calle Nadadora Carmen Soto, 2, Babel, Alicante / Alacant",1.100€/mesGaraje incluido,2 hab.100 m²Planta 5ª exterior con ascensorPublicado ayer,1/20,Vistas al mar,,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/34735382/,
2024-10-16,"Piso en calle Alberola, Benalúa, Alicante / Alacant",1.100€/mes,3 hab.83 m²Planta 1ª exterior sin ascensorPublicado ayer,1/17,,/pro/benaluanucleo/,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106260666/,
2024-10-16,"Piso en calle del Alcalde José Luis Lassaletta, 17, Babel, Alicante / Alacant",1.300€/mesGaraje incluido,3 hab.127 m²Planta 3ª exterior con ascensorPublicado ayer,1/37,,/pro/natinmo/,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106260563/,
2024-10-16,"Piso en Babel, Alicante / Alacant",1.275€/mesGaraje incluido,3 hab.109 m²Planta 1ª exterior con ascensorPublicado ayer,1/35,,/pro/wereal/,benalua-la-florida-babel-san-gabriel,alicante-alacant,/inmueble/106260438/,
