date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,id,page_suffix,city
2024-10-14,"Ático en avenida de Francesc Cambó, Sant Pere - Santa Caterina i la Ribera, Barcelona",1.050€/mes,75 m²Planta 5ª exterior sin ascensor24 minutos,1/36,Alquiler de temporada,NA,ciutat-vella,/inmueble/106248734/,NA,barcelona
2024-10-14,"Piso en calle d'En Tarròs, Sant Pere - Santa Caterina i la Ribera, Barcelona",1.250€/mes,2 hab.50 m²Planta 2ª exterior sin ascensor,1/16,NA,/pro/idealista-sans-serveis-1610988341070/,ciutat-vella,/inmueble/90472746/,NA,barcelona
2024-10-14,"Piso en calle de Jaume Giralt, Sant Pere - Santa Caterina i la Ribera, Barcelona",1.900€/mes,1 hab.46 m²Planta 2ª exterior con ascensor44 minutos,1/10,Alquiler de temporada,NA,ciutat-vella,/inmueble/106248487/,NA,barcelona
2024-10-14,"Piso en calle de l'Arc de Sant Agustí, El Raval, Barcelona",1.600€/mes,2 hab.75 m²Bajo exterior con ascensor,1/16,Alquiler de temporada,NA,ciutat-vella,/inmueble/106181400/,NA,barcelona
2024-10-14,"Estudio en rambla La, El Raval, Barcelona",1.050€/mes,35 m²Planta 2ª exterior sin ascensor1 hora,1/12,Alquiler de temporada,NA,ciutat-vella,/inmueble/106248285/,NA,barcelona
2024-10-14,"Piso en plaza del Pi, El Gòtic, Barcelona",1.750€/mes,1 hab.67 m²Planta 2ª exterior sin ascensor,1/30,NA,/pro/engel-volkers-barcelona/,ciutat-vella,/inmueble/106084999/,NA,barcelona
2024-10-14,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona",1.800€/mes,3 hab.85 m²Planta 5ª exterior con ascensor1 hora,1/50,NA,/pro/engel-volkers-barcelona/,ciutat-vella,/inmueble/106248005/,NA,barcelona
2024-10-14,"Piso en calle de les Moles, El Gòtic, Barcelona",2.800€/mes,2 hab.75 m²Planta 2ª exterior con ascensor,1/16,NA,/pro/houzit/,ciutat-vella,/inmueble/106127600/,NA,barcelona
2024-10-14,"Estudio en calle d'En Mònec, 13, Sant Pere - Santa Caterina i la Ribera, Barcelona",1.250€/mes,52 m²Planta 3ª interior sin ascensor2 horas,1/6,NA,NA,ciutat-vella,/inmueble/100052800/,NA,barcelona
2024-10-14,"Piso en paseo de Colom, El Gòtic, Barcelona",3.900€/mes,1 hab.104 m²Planta 3ª exterior con ascensor09 oct,1/39,NA,/pro/alting/,ciutat-vella,/inmueble/106208709/,NA,barcelona
2024-10-14,"Piso en calle de Peracamps, El Raval, Barcelona",1.695€/mes,2 hab.78 m²Planta 2ª exterior con ascensor3 horas,1/27,NA,/pro/shbarcelona/,ciutat-vella,/inmueble/103045390/,NA,barcelona
2024-10-14,"Piso en calle del Pas de l'Ensenyança, El Gòtic, Barcelona",2.300€/mes,2 hab.90 m²Planta 5ª exterior con ascensor,1/25,NA,/pro/apropertiesbarcelona/,ciutat-vella,/inmueble/106158731/,NA,barcelona
2024-10-14,"Piso en calle de n'Amargós, El Gòtic, Barcelona",1.195€/mes,1 hab.60 m²Planta 1ª exterior3 horas,1/25,NA,/pro/shbarcelona/,ciutat-vella,/inmueble/98244026/,NA,barcelona
2024-10-14,"Piso en calle de Gravina, El Raval, Barcelona",3.500€/mes,2 hab.93 m²Planta 1ª exterior con ascensor,1/25,NA,/pro/apropertiesbarcelona/,ciutat-vella,/inmueble/98962326/,NA,barcelona
2024-10-14,"Piso en calle de l'Atlàntida, La Barceloneta, Barcelona",1.595€/mes,3 hab.85 m²Planta 1ª exterior3 horas,1/33,NA,/pro/shbarcelona/,ciutat-vella,/inmueble/92462612/,NA,barcelona
