date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-16,"Estudio en calle de Ferran, El Gòtic, Barcelona",1.050€/mes,43 m²Planta 2ª exterior sin ascensor7 minutos,1/13,Alquiler de temporada,,ciutat-vella,barcelona,/inmueble/106279707/,
2024-10-16,"Piso en El Raval, Barcelona",1.150€/mes,2 hab.65 m²Planta 5ª interior con ascensor14 oct,1/15,Alquiler de temporada,/pro/seattleproperties/,ciutat-vella,barcelona,/inmueble/106251460/,
2024-10-16,"Piso en calle Nou de Zurbano, 4, El Gòtic, Barcelona",1.800€/mes,1 hab.38 m²Planta 2ª exterior con ascensor15 minutos,1/9,Alquiler de temporada,,ciutat-vella,barcelona,/inmueble/106279476/,
2024-10-16,"Piso en paseo de Colom, El Gòtic, Barcelona",3.900€/mes,1 hab.104 m²Planta 3ª exterior con ascensor09 oct,1/39,,/pro/alting/,ciutat-vella,barcelona,/inmueble/106208709/,
2024-10-16,"Piso en calle de l'Atlàntida, La Barceloneta, Barcelona",715€/mes,1 hab.35 m²Bajo exterior sin ascensor19 minutos,1/4,,,ciutat-vella,barcelona,/inmueble/106279499/,
2024-10-16,"Piso en plaza del Pi, El Gòtic, Barcelona",1.750€/mes,1 hab.67 m²Planta 2ª exterior sin ascensor,1/30,,/pro/engel-volkers-barcelona/,ciutat-vella,barcelona,/inmueble/106084999/,
2024-10-16,"Piso en calle de Joaquín Costa, El Raval, Barcelona",1.900€/mes,1 hab.56 m²Planta 4ª exterior sin ascensor6 minutos,1/12,Alquiler de temporada,,ciutat-vella,barcelona,/inmueble/106279310/,
2024-10-16,"Piso en calle de l'Arc de Sant Agustí, El Raval, Barcelona",1.600€/mes,2 hab.75 m²Bajo exterior con ascensor,1/16,Alquiler de temporada,,ciutat-vella,barcelona,/inmueble/106181400/,
2024-10-16,"Piso en calle de la Mercè, El Gòtic, Barcelona",1.450€/mes,2 hab.89 m²Planta 1ª exterior sin ascensor35 minutos,1/16,Alquiler de temporada,/pro/rightplace/,ciutat-vella,barcelona,/inmueble/106279005/,
2024-10-16,"Piso en calle de l'Hospital, El Raval, Barcelona",1.300€/mes,2 hab.55 m²Planta 3ª interior con ascensor,1/14,Apartamento,/pro/p08100930/,ciutat-vella,barcelona,/inmueble/104682340/,
2024-10-16,"Ático en calle de Sant Jacint, Sant Pere - Santa Caterina i la Ribera, Barcelona",990€/mes,43 m²Planta 5ª exterior sin ascensor31 minutos,1/38,Alquiler de temporada,,ciutat-vella,barcelona,/inmueble/106278992/,
2024-10-16,"Ático en Passatge Mercantil, Sant Pere - Santa Caterina i la Ribera, Barcelona",2.800€/mes,2 hab.100 m²Planta 3ª exterior con ascensor,1/37,Alquiler de temporada,,ciutat-vella,barcelona,/inmueble/105747865/,
2024-10-16,"Piso en calle dels Pescadors, La Barceloneta, Barcelona",1.100€/mes,1 hab.35 m²Planta 2ª exterior sin ascensor1 hora,1/24,Alquiler de temporadaApartamento,/pro/p08105884/,ciutat-vella,barcelona,/inmueble/98188956/,
