date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-15,"Piso en calle Lersundi, 11, Abandoibarra-Guggenheim, Bilbao",900€/mesGaraje incluido,2 hab.70 m²Planta 4ª exterior con ascensor13 horas,1/8,,,abando-albia,bilbao,/inmueble/94283074/,
2024-10-15,"Piso en calle Colón de Larreátegui, Ensanche-Moyua, Bilbao",1.850€/mes,4 hab.138 m²Planta 5ª exterior con ascensor,1/70,,/pro/imagina-bilbao/,abando-albia,bilbao,/inmueble/31231497/,
2024-10-15,"Piso en Uribitarte Pasealekua, 8, Albia, Bilbao",2.500€/mes,2 hab.100 m²exterior con ascensor15 horas,1/39,,,abando-albia,bilbao,/inmueble/104534250/,
2024-10-15,"Ático en alameda de Mazarredo, Bilbao, Abandoibarra-Guggenheim, Bilbao",1.550€/mesGaraje incluido,2 hab.96 m²Planta 8ª exterior con ascensor,1/42,,/pro/imagina-bilbao/,abando-albia,bilbao,/inmueble/83887434/,
2024-10-15,"Piso en calle del Lehendakari Leizaola, Abandoibarra-Guggenheim, Bilbao",2.100€/mesGaraje incluido,2 hab.106 m²Planta 6ª exterior con ascensor21 horas,1/39,,/pro/le-grenier/,abando-albia,bilbao,/inmueble/100746131/,
2024-10-15,"Piso en plaza Euskadi, Abandoibarra-Guggenheim, Bilbao",2.150€/mesGaraje incluido,2 hab.115 m²Planta 1ª exterior con ascensor,1/31,,/pro/arteainmobiliaria/,abando-albia,bilbao,/inmueble/103056750/,
2024-10-15,"Ático en Hurtado de Amézaga, Plaza Circular, Bilbao",810€/mes,1 hab.82 m²Planta 5ª exterior sin ascensor23 horas,1/22,,/pro/inmo-link/,abando-albia,bilbao,/inmueble/96699176/,
2024-10-15,"Piso en Villarias, Albia, Bilbao",1.100€/mes,1 hab.64 m²Planta 4ª exterior con ascensor,1/20,,/pro/elimar-bilbao/,abando-albia,bilbao,/inmueble/93968393/,
2024-10-15,"Piso en Abandoibarra-Guggenheim, Bilbao",1.900€/mesGaraje incluido,2 hab.87 m²Planta 8ª exterior con ascensorPublicado ayer,1/16,,/pro/inmomento/,abando-albia,bilbao,/inmueble/102549100/,
2024-10-15,"Piso en Gran Vía de Don Diego López de Haro, Abandoibarra-Guggenheim, Bilbao",3.700€/mesGaraje incluido,3 hab.185 m²Planta 5ª exterior con ascensor,1/29,Lujo,/pro/arteainmobiliaria/,abando-albia,bilbao,/inmueble/104748782/,
2024-10-15,"Piso en calle Buenos Aires Kalea, Plaza Circular, Bilbao",1.350€/mes,2 hab.80 m²Planta 3ª exterior con ascensor13 oct,1/31,,,abando-albia,bilbao,/inmueble/106245918/,
2024-10-15,"Piso en calle Lersundi, Abandoibarra-Guggenheim, Bilbao",1.860€/mes,3 hab.125 m²Planta 6ª exterior con ascensor,1/44,,/pro/infinity-homes/,abando-albia,bilbao,/inmueble/105054306/,
2024-10-15,"Ático en Abandoibarra-Guggenheim, Bilbao",3.700€/mesGaraje incluido,2 hab.170 m²Planta 5ª exterior con ascensor,1/22,Lujo,/pro/inmobiliaria-fernando-blanco/,abando-albia,bilbao,/inmueble/39586757/,
2024-10-15,"Piso en calle Leizaola Lehendakariaren, Abandoibarra-Guggenheim, Bilbao",1.750€/mesGaraje incluido,2 hab.105 m²Planta 3ª exterior con ascensor,1/4,,/pro/infinity-homes/,abando-albia,bilbao,/inmueble/105246908/,
2024-10-15,"Ático en Gran Vía de Don Diego López de Haro, Abandoibarra-Guggenheim, Bilbao",3.700€/mesGaraje incluido,3 hab.190 m²Planta 5ª exterior con ascensor,1/31,Lujo,/pro/inmobiliariaordunte/,abando-albia,bilbao,/inmueble/101669950/,
2024-10-15,"Piso en Gran Vía de Don Diego López de Haro, Abandoibarra-Guggenheim, Bilbao",1.250€/mes,1 hab.55 m²Bajo exterior con ascensor,1/29,Alquiler de temporadaApartamento,/pro/imagina-bilbao/,abando-albia,bilbao,/inmueble/90643579/,
2024-10-15,"Piso en calle Uribitarte, Albia, Bilbao",1.900€/mesGaraje incluido,2 hab.91 m²Planta 5ª exterior con ascensor,1/32,,/pro/bertegi/,abando-albia,bilbao,/inmueble/97625269/,
2024-10-15,"Piso en Uribitarte Pasealekua, Albia, Bilbao",1.150€/mesGarajeopc.100 €/mes,1 hab.55 m²Planta 6ª exterior con ascensor,1/5,Apartamento,/pro/imagina-bilbao/,abando-albia,bilbao,/inmueble/106142743/,
2024-10-15,"Piso en Hurtado De Amézaga, Zabalburu-Diputación, Bilbao",2.900€/mes,6 hab.190 m²Planta 2ª exterior con ascensor,1/24,,/pro/inmobiliaria-salazar/,abando-albia,bilbao,/inmueble/103207563/,
2024-10-15,"Piso en Uribitarte Pasealekua, Albia, Bilbao",1.150€/mesGarajeopc.100 €/mes,1 hab.60 m²Planta 6ª exterior con ascensor,1/27,Apartamento,/pro/lan-gestiones-inmobiliarias/,abando-albia,bilbao,/inmueble/87992378/,
2024-10-15,"Piso en Juan De Ajuriaguerra, Abandoibarra-Guggenheim, Bilbao",1.800€/mes,3 hab.90 m²Planta 5ª interior con ascensor,1/23,,/pro/inmobiliaria-salazar/,abando-albia,bilbao,/inmueble/103380670/,
2024-10-15,"Piso en calle Hurtado de Amezaga Kalea, Plaza Circular, Bilbao",1.100€/mes,2 hab.75 m²Planta 2ª exterior sin ascensor,1/16,,/pro/inmobiliaria-salazar/,abando-albia,bilbao,/inmueble/106187925/,
2024-10-15,"Piso en plaza Euskadi, Abandoibarra-Guggenheim, Bilbao",3.000€/mesGaraje incluido,3 hab.155 m²Planta 1ª exterior sin ascensor,1/15,Lujo,,abando-albia,bilbao,/inmueble/97883041/,
2024-10-15,"Piso en calle Autonomia Kalea, Zabalburu-Diputación, Bilbao",925€/mes,1 hab.55 m²Planta 8ª interior con ascensor,1/10,,/pro/inmobiliaria-salazar/,abando-albia,bilbao,/inmueble/106119767/,
2024-10-15,"Piso en Abandoibarra-Guggenheim, Bilbao",1.300€/mes,2 hab.47 m²Planta 1ª interior con ascensor,1/23,Apartamento,/pro/bilbocasa/,abando-albia,bilbao,/inmueble/104326320/,
2024-10-15,"Piso en calle de Bertendona, Zabalburu-Diputación, Bilbao",1.400€/mes,2 hab.107 m²Planta 5ª interior con ascensor,1/23,,/pro/infinity-homes/,abando-albia,bilbao,/inmueble/103462155/,
2024-10-15,"Piso en alameda de Recalde, Abandoibarra-Guggenheim, Bilbao",1.250€/mes,1 hab.65 m²Planta 6ª exterior con ascensor,1/11,,/pro/arteainmobiliaria/,abando-albia,bilbao,/inmueble/103152591/,
2024-10-15,"Piso en Gran Vía de Don Diego López de Haro, Abandoibarra-Guggenheim, Bilbao",1.250€/mes,1 hab.65 m²Bajo exterior con ascensor,1/21,,/pro/lan-gestiones-inmobiliarias/,abando-albia,bilbao,/inmueble/90590388/,
2024-10-15,"Piso en calle Gardoki Kardenalaren, Zabalburu-Diputación, Bilbao",2.000€/mes,2 hab.120 m²Planta 4ª exterior con ascensor,1/16,,/pro/infinity-homes/,abando-albia,bilbao,/inmueble/105330328/,
2024-10-15,"Piso en Zabalburu-Diputación, Bilbao",1.400€/mesGaraje incluido,1 hab.59 m²Planta 4ª exterior con ascensor,1/17,,/pro/infinity-homes/,abando-albia,bilbao,/inmueble/106080547/,
2024-10-15,"Piso en calle Hurtado de Amezaga, Zabalburu-Diputación, Bilbao",1.600€/mes,2 hab.95 m²Planta 7ª exterior con ascensor,1/34,,/pro/infinity-homes/,abando-albia,bilbao,/inmueble/105992672/,pagina-2
2024-10-15,"Piso en calle Ibáñez de Bilbao Kalea, Ensanche-Moyua, Bilbao",1.500€/mes,3 hab.152 m²Planta 5ª exterior con ascensor,1/20,,/pro/inmobiliaria-salazar/,abando-albia,bilbao,/inmueble/105651767/,pagina-2
2024-10-15,"Piso en calle Fernández del Campo, Zabalburu-Diputación, Bilbao",1.390€/mes1.490 €7%,3 hab.103 m²Planta 2ª exterior con ascensor,1/37,,/pro/alquiler-seguro/,abando-albia,bilbao,/inmueble/105867934/,pagina-2
2024-10-15,"Piso en calle Hurtado de Amezaga Kalea, Zabalburu-Diputación, Bilbao",1.450€/mes,2 hab.70 m²Planta 8ª exterior con ascensor,1/23,,/pro/inmobiliaria-salazar/,abando-albia,bilbao,/inmueble/105876413/,pagina-2
2024-10-15,"Piso en Gran vía Don Diego López de Haro, Abandoibarra-Guggenheim, Bilbao",2.000€/mesGaraje incluido,2 hab.165 m²Planta 5ª exterior con ascensor,1/36,,/pro/imagina-bilbao/,abando-albia,bilbao,/inmueble/90563305/,pagina-2
2024-10-15,"Piso en calle Leizaola Lehendakariaren Kalea, Abandoibarra-Guggenheim, Bilbao",1.700€/mesGarajeopc.150 €/mes,2 hab.106 m²Planta 1ª exterior con ascensor,1/3,,/pro/inmobiliaria-salazar/,abando-albia,bilbao,/inmueble/104874715/,pagina-2
2024-10-15,"Piso en calle Juan Ajuriaguerra Kalea, Abandoibarra-Guggenheim, Bilbao",1.300€/mes,2 hab.80 m²Planta 4ª exterior con ascensor,1/26,,/pro/infinity-homes/,abando-albia,bilbao,/inmueble/104204633/,pagina-2
2024-10-15,"Piso en Mazarredo Zumarkalea, Abandoibarra-Guggenheim, Bilbao",1.200€/mes,2 hab.58 m²Planta 3ª exterior con ascensor,1/15,,/pro/af-soluciones/,abando-albia,bilbao,/inmueble/105877909/,pagina-2
2024-10-15,"Dúplex en calle Hurtado de Amezaga, Zabalburu-Diputación, Bilbao",1.450€/mes,2 hab.75 m²Planta 8ª exterior con ascensor,1/25,,/pro/infinity-homes/,abando-albia,bilbao,/inmueble/105816034/,pagina-2
2024-10-15,"Piso en calle Máximo Aguirre, Ensanche-Moyua, Bilbao",1.450€/mesGaraje incluido,2 hab.85 m²Planta 5ª interior con ascensor,1/28,,/pro/inmo-link/,abando-albia,bilbao,/inmueble/94221703/,pagina-2
2024-10-15,"Piso en Ensanche-Moyua, Bilbao",1.400€/mes,1 hab.65 m²Planta 3ª exterior con ascensor,1/17,,/pro/inmobiliariairizar/,abando-albia,bilbao,/inmueble/106186191/,pagina-2
