date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-15,"Piso en calle Francisco Lopez Alen, 15, Aiete, Donostia-San Sebastián",1.850€/mesGaraje incluido,3 hab.185 m²Planta 2ª exterior sin ascensor15 horas,1/24,,,aiete,donostia-san-sebastian,/inmueble/106257385/,
2024-10-15,"Piso en calle Merkezabal, Aiete, Donostia-San Sebastián",1.200€/mes,3 hab.75 m²Planta 1ª exterior con ascensor22 horas,1/24,Alquiler de temporada,,aiete,donostia-san-sebastian,/inmueble/106250478/,
2024-10-15,"Piso en alto de Errondo, 74, Aiete, Donostia-San Sebastián",1.200€/mes,1 hab.55 m²Bajo exterior con ascensor23 horas,1/3,,,aiete,donostia-san-sebastian,/inmueble/106250088/,
2024-10-15,"Dúplex en Aiete, Donostia-San Sebastián",1.500€/mes,4 hab.115 m²Planta 2ª exterior con ascensor11 oct,1/28,,/pro/ondarreta-de-servicios/,aiete,donostia-san-sebastian,/inmueble/106239272/,
2024-10-15,"Piso en calle Aizkolene, 3, Aiete, Donostia-San Sebastián",1.300€/mesGaraje incluido,3 hab.85 m²Planta 3ª exterior sin ascensor,1/26,,/pro/agencia-inmobiliaria-araxes/,aiete,donostia-san-sebastian,/inmueble/106134991/,
2024-10-15,"Piso en calle Melodi, Aiete, Donostia-San Sebastián",1.400€/mesGaraje incluido,2 hab.77 m²Planta 1ª exterior con ascensor,1/23,,/pro/zuhaizti-inmobiliaria/,aiete,donostia-san-sebastian,/inmueble/106161981/,
2024-10-15,"Piso en Lazkano Pasealekua, Aiete, Donostia-San Sebastián",1.300€/mesGaraje incluido1.400 €7%,2 hab.75 m²Bajo exterior sin ascensor,1/20,En exclusiva,/pro/sokoainmosokoacom/,aiete,donostia-san-sebastian,/inmueble/105807820/,
2024-10-15,"Piso en Lazkano Pasealekua, 49, Aiete, Donostia-San Sebastián",1.300€/mesGaraje incluido,1 hab.122 m²Bajo exterior con ascensor11 oct,1/22,,,aiete,donostia-san-sebastian,/inmueble/106237665/,
2024-10-15,"Piso en calle Borroto, Aiete, Donostia-San Sebastián",1.650€/mesGaraje incluido,3 hab.110 m²Planta 2ª exterior con ascensor,1/39,,,aiete,donostia-san-sebastian,/inmueble/106180191/,
2024-10-15,"Piso en calle Jose Olaizola, Aiete, Donostia-San Sebastián",2.500€/mesGaraje incluido,3 hab.110 m²Planta 2ª exterior con ascensor,1/35,,/pro/aldaba-gestion-inmobiliaria/,aiete,donostia-san-sebastian,/inmueble/104489262/,
2024-10-15,"Piso en Aiete, Donostia-San Sebastián",1.250€/mes,2 hab.104 m²Bajo exterior sin ascensor,1/11,,/pro/metropoli-consultoria/,aiete,donostia-san-sebastian,/inmueble/106150292/,
2024-10-15,"Piso en Aiete, Donostia-San Sebastián",1.750€/mesGaraje incluido,3 hab.109 m²Planta 5ª exterior con ascensor,1/21,,,aiete,donostia-san-sebastian,/inmueble/91254861/,
2024-10-15,"Piso en Hiru Damatxo, 2, Aiete, Donostia-San Sebastián",1.600€/mesGaraje incluido,2 hab.60 m²Planta 2ª exterior con ascensor,1/9,Alquiler de temporada,,aiete,donostia-san-sebastian,/inmueble/101357620/,
