date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,id,page_suffix,city
2024-10-14,"Piso en calle de Sebastián Elcano, Palos de la Frontera, Madrid",1.100€/mes,1 hab.47 m²Planta 3ª interior con ascensor6 minutos,1/32,Apartamento,NA,arganzuela,/inmueble/33340817/,NA,madrid
2024-10-14,"Piso en Palos de la Frontera, Madrid",1.400€/mesGarajeopc.140 €/mes,1 hab.57 m²Planta 1ª exterior con ascensor09 oct,1/17,NA,/pro/inmobiliaria-internacional-cpm/,arganzuela,/inmueble/106200412/,NA,madrid
2024-10-14,"Piso en calle de Embajadores, Legazpi, Madrid",1.100€/mesGaraje incluido,1 hab.55 m²Planta 2ª exterior con ascensor1 hora,1/43,NA,NA,arganzuela,/inmueble/39653076/,NA,madrid
2024-10-14,"Piso en Guillermo de Osma, 4, Chopera, Madrid",1.590€/mes,1 hab.55 m²Planta 1ª interior sin ascensor,1/14,Alquiler de temporada,/pro/aquavillateam/,arganzuela,/inmueble/104108353/,NA,madrid
2024-10-14,"Piso en calle Nereida, Legazpi, Madrid",1.800€/mesGaraje incluido,3 hab.128 m²Planta 7ª exterior con ascensor1 hora,1/43,NA,/pro/sell-house-rivas/,arganzuela,/inmueble/106248374/,NA,madrid
2024-10-14,"Piso en calle de Bustamante, 9, Palos de la Frontera, Madrid",1.390€/mes,2 hab.54 m²Bajo interior con ascensor,1/18,Alquiler de temporada,NA,arganzuela,/inmueble/104632109/,NA,madrid
2024-10-14,"Piso en calle de Rafael de Riego, 46, Palos de la Frontera, Madrid",1.630€/mesGaraje incluido,2 hab.85 m²Planta 3ª exterior con ascensor1 hora,1/18,NA,NA,arganzuela,/inmueble/106248235/,NA,madrid
2024-10-14,"Piso en calle de Canarias, 3, Palos de la Frontera, Madrid",1.250€/mes,1 hab.40 m²Planta 2ª interior con ascensor,1/15,NA,NA,arganzuela,/inmueble/106173591/,NA,madrid
2024-10-14,"Piso en calle de Canarias, Palos de la Frontera, Madrid",1.100€/mes,1 hab.56 m²Planta 5ª exterior con ascensor2 horas,1/22,NA,/pro/hernan-inmobiliaria/,arganzuela,/inmueble/106248049/,NA,madrid
2024-10-14,"Piso en calle de la Arquitectura, Acacias, Madrid",750€/mes,1 hab.26 m²Bajo exterior con ascensor11 oct,1/11,NA,NA,arganzuela,/inmueble/106238268/,NA,madrid
2024-10-14,"Dúplex en calle Cobre, 1, Delicias, Madrid",1.400€/mes,1 hab.73 m²Bajo exterior con ascensor16 horas,1/7,NA,NA,arganzuela,/inmueble/1891439/,NA,madrid
2024-10-14,"Piso en Acacias, Madrid",1.600€/mes,2 hab.70 m²exterior con ascensor11 oct,1/35,NA,/pro/engel-volkers-madrid/,arganzuela,/inmueble/106237949/,NA,madrid
2024-10-14,"Ático en Acacias, Madrid",1.850€/mesGaraje incluido,2 hab.80 m²Planta 6ª exterior con ascensor20 horas,1/37,NA,NA,arganzuela,/inmueble/25356579/,NA,madrid
2024-10-14,"Piso en calle Manuel Aleixandre, Legazpi, Madrid",1.100€/mes,2 hab.45 m²Planta 1ª interior con ascensor,1/17,NA,/pro/alquilofacil-moncloa/,arganzuela,/inmueble/105555850/,NA,madrid
2024-10-14,"Piso en Chopera, Madrid",1.350€/mes,2 hab.64 m²Planta 4ª exterior con ascensor12 oct,1/15,NA,NA,arganzuela,/inmueble/106243498/,NA,madrid
2024-10-14,"Piso en calle Casimiro Mahou Bierhans, 21, Imperial, Madrid",1.575€/mesGaraje incluido,1 hab.67 m²Bajo exterior con ascensor,1/52,NA,/pro/vivenio/,arganzuela,/inmueble/105004915/,NA,madrid
2024-10-14,"Piso en calle de Segovia, 47, Imperial, Madrid",1.100€/mes,1 hab.58 m²Planta 5ª exterior con ascensor12 oct,1/17,Apartamento,NA,arganzuela,/inmueble/36784795/,NA,madrid
