date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-15,"Ático en San Alberto - La Alcubilla - Florisol, Málaga",950€/mes,1 hab.60 m²Planta 3ª exterior con ascensor1 hora,1/17,Alquiler de temporadaApartamento,/pro/bankasa/,bailen-miraflores,malaga,/inmueble/106264450/,
2024-10-15,"Piso en calle Sebastián de Eslava, Victoria Eugenia, Málaga",825€/mesGaraje incluido,1 hab.58 m²Planta 2ª exterior con ascensor,1/32,,,bailen-miraflores,malaga,/inmueble/98290519/,
2024-10-15,"Piso en calle Andalucía, Los Castillejos - La Trinidad, Málaga",1.480€/mes,3 hab.70 m²Planta 5ª exterior con ascensor32 minutos,1/14,,/pro/navarro-asesores/,bailen-miraflores,malaga,/inmueble/106263237/,
2024-10-15,"Piso en calle Cabas Galván, 4, Victoria Eugenia, Málaga",1.200€/mesGaraje incluido,2 hab.80 m²Planta 2ª exterior con ascensor,1/23,,,bailen-miraflores,malaga,/inmueble/105947192/,
2024-10-15,"Piso en calle López Blanco, Suárez, Málaga",950€/mes,2 hab.85 m²Entreplanta exterior con ascensor2 horas,1/30,,,bailen-miraflores,malaga,/inmueble/106262442/,
2024-10-15,"Piso en Victoria Eugenia, Málaga",995€/mes,3 hab.72 m²Planta 3ª exterior sin ascensor,1/26,Reformado,,bailen-miraflores,malaga,/inmueble/105885948/,
2024-10-15,"Piso en calle Berrocal, Suárez, Málaga",1.200€/mes,3 hab.100 m²Planta 5ª exterior con ascensor2 horas,1/17,,,bailen-miraflores,malaga,/inmueble/106262241/,
2024-10-15,"Estudio en camino Suárez, 12, Suárez, Málaga",650€/mes,40 m²Bajo interior sin ascensor4 horas,1/9,,,bailen-miraflores,malaga,/inmueble/97161988/,
2024-10-15,"Piso en carril de Gamarra, 1, La Florida - Parque norte, Málaga",975€/mes,3 hab.78 m²Planta 7ª exterior con ascensor4 horas,1/10,,,bailen-miraflores,malaga,/inmueble/104638356/,
2024-10-15,"Piso en plaza de Miraflores, Victoria Eugenia, Málaga",850€/mes,3 hab.69 m²Planta 9ª exterior con ascensor4 horas,1/30,,/pro/alquiler-seguro/,bailen-miraflores,malaga,/inmueble/106260324/,
2024-10-15,"Piso en camino Suárez, 103, Suárez, Málaga",1.200€/mes,3 hab.105 m²con ascensor8 horas,1/10,,/pro/spacestcom/,bailen-miraflores,malaga,/inmueble/106259752/,
2024-10-15,"Piso en calle Martínez Maldonado, Los Castillejos - La Trinidad, Málaga",1.390€/mesGaraje incluido,3 hab.105 m²Planta 2ª exterior con ascensor17 horas,1/23,,/pro/aries-servicio-inmobiliarios/,bailen-miraflores,malaga,/inmueble/101434979/,
2024-10-15,"Ático en camino Suárez, 52, Victoria Eugenia, Málaga",1.250€/mes,3 hab.100 m²Planta 9ª exterior con ascensor19 horas,1/12,,,bailen-miraflores,malaga,/inmueble/106256521/,
2024-10-15,"Piso en calle Conjunto Villa María, La Florida - Parque norte, Málaga",1.000€/mesGaraje incluido,3 hab.96 m²Planta 4ª exterior con ascensor22 horas,1/28,,/pro/alquiler-seguro/,bailen-miraflores,malaga,/inmueble/106253403/,
2024-10-15,"Piso en calle Andalucía, Los Castillejos - La Trinidad, Málaga",1.480€/mes,3 hab.70 m²Planta 5ª exterior con ascensorPublicado ayer,1/13,,/pro/inmobiliaria-roberto-alderucci/,bailen-miraflores,malaga,/inmueble/106250787/,
2024-10-15,"Piso en calle Natalia, Los Castillejos - La Trinidad, Málaga",590€/mes,1 hab.30 m²Entreplanta exterior sin ascensorPublicado ayer,1/6,Apartamento,,bailen-miraflores,malaga,/inmueble/106249323/,
2024-10-15,"Piso en calle César Arbasia, Suárez, Málaga",990€/mes,1 hab.40 m²Planta 1ª exterior con ascensorPublicado ayer,1/15,Apartamento,,bailen-miraflores,malaga,/inmueble/106249243/,
2024-10-15,"Piso en calle Andalucía, 22, Los Castillejos - La Trinidad, Málaga",1.480€/mes,3 hab.70 m²Planta 5ª exterior con ascensor13 oct,1/14,,,bailen-miraflores,malaga,/inmueble/106247208/,
2024-10-15,"Piso en calle Andalucía, Los Castillejos - La Trinidad, Málaga",1.480€/mes,3 hab.90 m²Planta 5ª exterior con ascensor1 hora,,,,bailen-miraflores,malaga,/inmueble/106264979/,
2024-10-15,"Piso en calle Eugenio Gross, Los Castillejos - La Trinidad, Málaga",950€/mes,2 hab.59 m²Planta 5ª exterior con ascensor,1/20,,/pro/clikalia/,bailen-miraflores,malaga,/inmueble/106104688/,
2024-10-15,"Ático en calle Eugenio Gross, Suárez, Málaga",1.200€/mes1.400 €14%,1 hab.69 m²Planta 7ª exterior con ascensor,1/32,Alquiler de temporadaVistas al mar,,bailen-miraflores,malaga,/inmueble/106111250/,
2024-10-15,"Piso en calle Alta de San Mateo, San Alberto - La Alcubilla - Florisol, Málaga",1.190€/mesGarajeopc.150 €/mes,2 hab.219 m²Planta 1ª exterior con ascensor,1/28,,/pro/unicasahome/,bailen-miraflores,malaga,/inmueble/100453315/,
2024-10-15,"Dúplex en Victoria Eugenia, Málaga",920€/mes,2 hab.80 m²Planta 2ª exterior con ascensor09 oct,1/27,,,bailen-miraflores,malaga,/inmueble/106207861/,
2024-10-15,"Piso en Suárez, Málaga",890€/mes,2 hab.66 m²Planta 2ª exterior con ascensor,1/25,,,bailen-miraflores,malaga,/inmueble/106065157/,
