date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-15,"Piso en Sant Jaume, Palma de Mallorca",1.550€/mes,3 hab.150 m²Planta 1ª exterior con ascensor4 horas,1/41,,/pro/gesmorent-central-en-mallorca/,ciutat-antigua,palma-de-mallorca,/inmueble/106260851/,
2024-10-15,"Ático en calle de Ramon Llull, 6, Monti-Sión, Palma de Mallorca",1.650€/mes1.800 €8%,1 hab.60 m²Planta 3ª exterior sin ascensor,1/18,,,ciutat-antigua,palma-de-mallorca,/inmueble/105577773/,
2024-10-15,"Piso en calle de Santa Magdalena, Sant Jaume, Palma de Mallorca",1.200€/mes,1 hab.57 m²Planta 2ª exterior sin ascensor6 horas,1/25,,,ciutat-antigua,palma-de-mallorca,/inmueble/106260147/,
2024-10-15,"Piso en calle de Vallseca, La Llotja, Palma de Mallorca",4.000€/mes,2 hab.170 m²Planta 3ª exterior sin ascensor,1/39,Lujo,/pro/apropertiesmallorca/,ciutat-antigua,palma-de-mallorca,/inmueble/106190517/,
2024-10-15,"Piso en calle Ermita, 3, Sant Jaume, Palma de Mallorca",1.100€/mes,1 hab.60 m²Planta 2ª exterior sin ascensor15 horas,1/14,,,ciutat-antigua,palma-de-mallorca,/inmueble/34251453/,
2024-10-15,"Piso en calle de Josep Tous i Ferrer, Sindicat, Palma de Mallorca",2.200€/mes,3 hab.150 m²Planta 3ª exterior con ascensor09 oct,1/36,,/pro/apropertiesmallorca/,ciutat-antigua,palma-de-mallorca,/inmueble/106214861/,
2024-10-15,"Dúplex en calle dels Paraires, 1, Sant Nicolau, Palma de Mallorca",1.200€/mes,2 hab.80 m²Planta 4ª exterior con ascensor19 horas,1/15,,,ciutat-antigua,palma-de-mallorca,/inmueble/106256713/,
2024-10-15,"Piso en calle de Font i Monteros, La Missio - Mercat, Palma de Mallorca",2.050€/mesGaraje incluido,4 hab.179 m²Planta 6ª exterior con ascensor11 oct,1/20,,/pro/apropertiesmallorca/,ciutat-antigua,palma-de-mallorca,/inmueble/106236284/,
2024-10-15,"Piso en calle de Bonaire, Sant Jaume, Palma de Mallorca",2.500€/mesGaraje incluido,3 hab.150 m²Planta 2ª exterior con ascensor19 horas,1/45,,,ciutat-antigua,palma-de-mallorca,/inmueble/106255460/,
2024-10-15,"Piso en Sindicat, Palma de Mallorca",1.600€/mes,1 hab.88 m²Planta 3ª exterior sin ascensor,1/34,,/pro/apropertiesmallorca/,ciutat-antigua,palma-de-mallorca,/inmueble/106054192/,
2024-10-15,"Piso en plaza Major, Sant Nicolau, Palma de Mallorca",2.500€/mesGaraje incluido,4 hab.143 m²Planta 2ª exterior con ascensor21 horas,1/32,,/pro/mar-y-trinidad/,ciutat-antigua,palma-de-mallorca,/inmueble/106253999/,
2024-10-15,"Piso en Sant Jaume, Palma de Mallorca",2.500€/mes,4 hab.225 m²exterior con ascensor08 oct,1/11,,/pro/mallorca-sothebys-international-realty/,ciutat-antigua,palma-de-mallorca,/inmueble/106200900/,
2024-10-15,"Piso en La Missio - Mercat, Palma de Mallorca",1.400€/mes,2 hab.75 m²Planta 3ª exterior con ascensor22 horas,1/15,,,ciutat-antigua,palma-de-mallorca,/inmueble/103374657/,
2024-10-15,"Piso en La Calatrava, Palma de Mallorca",3.500€/mesGaraje incluido,2 hab.118 m²exterior sin ascensor23 horas,1/18,Vistas al marLujo,/pro/bhhsmallorca/,ciutat-antigua,palma-de-mallorca,/inmueble/106253157/,
2024-10-15,"Piso en calle de Font i Monteros, 22, La Missio - Mercat, Palma de Mallorca",1.200€/mes,1 hab.70 m²Planta 2ª exterior con ascensor13 oct,1/9,,,ciutat-antigua,palma-de-mallorca,/inmueble/106245040/,
2024-10-15,"Ático en calle de Font i Monteros, La Missio - Mercat, Palma de Mallorca",1.950€/mes,3 hab.110 m²Planta 7ª exterior con ascensor,1/27,,/pro/mallorca-blue-home/,ciutat-antigua,palma-de-mallorca,/inmueble/106182750/,
2024-10-15,"Piso en calle Brondo, 3, Sant Nicolau, Palma de Mallorca",1.450€/mes,1 hab.56 m²Planta 2ª exterior con ascensor,1/25,,,ciutat-antigua,palma-de-mallorca,/inmueble/92295163/,
2024-10-15,"Piso en calle Brondo, 3, Sant Nicolau, Palma de Mallorca",1.450€/mes,1 hab.56 m²Planta 3ª exterior con ascensor,1/28,,,ciutat-antigua,palma-de-mallorca,/inmueble/92293188/,
2024-10-15,"Piso en calle de Vallseca, La Llotja, Palma de Mallorca",4.000€/mes,2 hab.170 m²Planta 3ª exterior sin ascensor,1/39,Lujo,/pro/apropertiesmallorca/,ciutat-antigua,palma-de-mallorca,/inmueble/102088631/,
