date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-15,"Piso en calle Sacramento, 5, Bellavista, Sevilla",600€/mes,2 hab.60 m²Bajo exterior sin ascensor2 horas,1/12,,,bellavista-jardines-de-hercules,sevilla,/inmueble/106263466/,
2024-10-15,"Piso en Jardines de Hércules, Sevilla",900€/mesGaraje incluido,3 hab.120 m²Planta 6ª exterior con ascensor10 oct,1/13,,,bellavista-jardines-de-hercules,sevilla,/inmueble/105421628/,
2024-10-15,"Piso en calle El Compás, 8, Bellavista, Sevilla",825€/mes,2 hab.45 m²Bajo exterior sin ascensor3 horas,1/6,,,bellavista-jardines-de-hercules,sevilla,/inmueble/106262234/,
2024-10-15,"Piso en calle El Compás, 8, Bellavista, Sevilla",800€/mes,2 hab.45 m²Bajo exterior sin ascensor3 horas,1/5,,,bellavista-jardines-de-hercules,sevilla,/inmueble/106262195/,
2024-10-15,"Estudio en calle Jazmín, 23, Bellavista, Sevilla",650€/mes,45 m²Planta 1ª interior sin ascensorPublicado ayer,1/15,,/pro/tecnocasa-bellavista/,bellavista-jardines-de-hercules,sevilla,/inmueble/106250788/,
2024-10-15,"Estudio en calle Guadalajara, Bellavista, Sevilla",550€/mes,40 m²Planta 1ª exterior sin ascensor,1/31,,/pro/bancalero-inmobiliaria/,bellavista-jardines-de-hercules,sevilla,/inmueble/95358302/,
2024-10-15,"Piso en calle Persefone, Jardines de Hércules, Sevilla",990€/mesGaraje incluido,3 hab.105 m²Planta 7ª exterior con ascensor10 oct,1/17,,/pro/houseline/,bellavista-jardines-de-hercules,sevilla,/inmueble/25820738/,
2024-10-15,"Piso en calle Caldereros, Bellavista, Sevilla",650€/mes,3 hab.65 m²Bajo exterior sin ascensor08 oct,1/12,,/pro/alquiler-seguro/,bellavista-jardines-de-hercules,sevilla,/inmueble/106201400/,
2024-10-15,"Chalet adosado en Bellavista, Sevilla",870€/mes,2 hab.102 m²,1/42,Alquiler de temporada,/pro/casapisoes1/,bellavista-jardines-de-hercules,sevilla,/inmueble/105947903/,
2024-10-15,"Piso en avenida de Bellavista, 8, Bellavista, Sevilla",750€/mes,3 hab.80 m²Planta 1ª exterior con ascensor10 oct,1/15,,,bellavista-jardines-de-hercules,sevilla,/inmueble/106219061/,
2024-10-15,"Piso en Urbanizacion Nueva Bellavista, 5, Bellavista, Sevilla",800€/mes,3 hab.70 m²Planta 2ª exterior sin ascensor,1/29,,,bellavista-jardines-de-hercules,sevilla,/inmueble/106087208/,
2024-10-15,"Piso en calle Afrodita, 12, Jardines de Hércules, Sevilla",925€/mesGaraje incluido,3 hab.105 m²Planta 3ª exterior con ascensor,1/40,,,bellavista-jardines-de-hercules,sevilla,/inmueble/89806091/,
2024-10-15,"Piso en calle Feliciana Enríquez, 46, Bellavista, Sevilla",830€/mes,3 hab.68 m²Planta 1ª exterior sin ascensor,1/28,,,bellavista-jardines-de-hercules,sevilla,/inmueble/105834852/,
2024-10-15,"Piso en calle Andalucia, Bellavista, Sevilla",700€/mes,2 hab.75 m²Planta 2ª exterior con ascensor,1/17,,/pro/houseline/,bellavista-jardines-de-hercules,sevilla,/inmueble/106192501/,
2024-10-15,"Chalet pareado en calle Feliciana Enríquez, 23, Bellavista, Sevilla",750€/mes,1 hab.60 m²,1/20,Alquiler de temporada,,bellavista-jardines-de-hercules,sevilla,/inmueble/95494478/,
2024-10-15,"Piso en calle Hermes, 6, Jardines de Hércules, Sevilla",900€/mesGaraje incluido,3 hab.112 m²Planta 5ª exterior con ascensor,1/4,,,bellavista-jardines-de-hercules,sevilla,/inmueble/99358631/,
2024-10-15,"Piso en calle Afrodita, 14, Jardines de Hércules, Sevilla",850€/mesGaraje incluido,3 hab.112 m²Planta 8ª exterior con ascensor,1/13,,,bellavista-jardines-de-hercules,sevilla,/inmueble/100388477/,
2024-10-15,"Piso en San Vicente, Sevilla",900€/mes,1 hab.60 m²Planta 2ª exterior sin ascensor16 horas,1/7,Apartamento,,centro,sevilla,/inmueble/89351235/,
2024-10-15,"Piso en Santa Cruz - Alfalfa, Sevilla",1.100€/mes,2 hab.80 m²Planta 1ª exterior sin ascensor,1/31,,,centro,sevilla,/inmueble/90113276/,
2024-10-15,"Piso en Feria, Sevilla",1.200€/mes,2 hab.110 m²Bajo exterior sin ascensor18 horas,1/3,,,centro,sevilla,/inmueble/106257405/,
2024-10-15,"Piso en calle Carlos Cañal, Arenal - Museo - Tetuán, Sevilla",700€/mes,1 hab.60 m²Planta 2ª interior con ascensor,1/22,Apartamento,/pro/zitizen-consultoes-inmobiliarios/,centro,sevilla,/inmueble/95240168/,
2024-10-15,"Piso en Santa Cruz - Alfalfa, Sevilla",1.400€/mes,2 hab.98 m²Planta 1ª18 horas,1/34,,/pro/baebragroup/,centro,sevilla,/inmueble/106257296/,
2024-10-15,"Dúplex en Puerta de la Carne - Judería, Sevilla",1.500€/mesGaraje incluido,1 hab.100 m²Planta 2ª exterior sin ascensor19 horas,1/13,,,centro,sevilla,/inmueble/106256255/,
