date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-14,"Piso en Concha Espina, L'Amistat, València",950€/mes,3 hab.90 m²Planta 5ª exterior con ascensor59 minutos,1/53,,,algiros,valencia,/inmueble/82713130/,
2024-10-14,"Piso en Ciutat Jardí, València",1.210€/mes,1 hab.40 m²exterior con ascensor,1/20,,/pro/engelvalencia/,algiros,valencia,/inmueble/105950077/,
2024-10-14,"Piso en calle de Ramon Llull, 1, La Vega Baixa, València",1.950€/mes,3 hab.85 m²Planta 2ª exterior con ascensor6 horas,1/35,Alquiler de temporada,,algiros,valencia,/inmueble/106249761/,
2024-10-14,"Piso en Ciutat Jardí, València",1.089€/mes,1 hab.40 m²exterior con ascensor,1/27,,/pro/engelvalencia/,algiros,valencia,/inmueble/106001093/,
2024-10-14,"Piso en plaza de Fra Lluís Colomer, La Carrasca, València",1.600€/mes,4 hab.105 m²Planta 2ª exterior con ascensor7 horas,1/24,,/pro/p08107472/,algiros,valencia,/inmueble/106248497/,
2024-10-14,"Ático en plaza de José María Orense, La Carrasca, València",1.800€/mes,3 hab.150 m²Planta 14ª exterior con ascensor11 oct,1/40,Vistas al mar,/pro/engelvalencia/,algiros,valencia,/inmueble/106230569/,
2024-10-14,"Piso en avenida de Blasco Ibáñez, 125, Ciutat Jardí, València",1.250€/mes,4 hab.109 m²Planta 7ª exterior con ascensor11 oct,1/40,,,algiros,valencia,/inmueble/106233758/,
2024-10-14,"Piso en calle de Xalans, Ciutat Jardí, València",1.300€/mes,4 hab.126 m²Planta 7ª exterior con ascensor,1/34,,/pro/p04611812/,algiros,valencia,/inmueble/106099552/,
2024-10-14,"Piso en calle del Poeta Mas y Ros, L'Amistat, València",1.150€/mes,3 hab.85 m²Planta 2ª exterior con ascensor08 oct,1/21,,,algiros,valencia,/inmueble/106197259/,
2024-10-14,"Estudio en Ciutat Jardí, València",1.210€/mes,35 m²Planta 1ª exterior con ascensor,1/10,,/pro/bhproperties/,algiros,valencia,/inmueble/106100662/,
2024-10-14,"Piso en Blasco Ibañez, 87, Ciutat Jardí, València",1.300€/mes,3 hab.110 m²Planta 11ª exterior con ascensor,1/40,Alquiler de temporada,/pro/tumikasa/,algiros,valencia,/inmueble/90555925/,
2024-10-14,"Piso en calle de Zarra, Ciutat Jardí, València",1.050€/mes,3 hab.98 m²Planta 3ª exterior con ascensor10 oct,1/27,,/pro/rb-conforthouse/,algiros,valencia,/inmueble/106225850/,
2024-10-14,"Piso en calle Historiador Claudio Sánchez Albornoz, La Vega Baixa, València",1.490€/mes1.600 €7%,3 hab.110 m²Planta 11ª exterior con ascensor,1/39,,/pro/p04612448/,algiros,valencia,/inmueble/105946207/,
2024-10-14,"Piso en plaza del Poeta Vicente Gaos, La Carrasca, València",1.350€/mes,3 hab.127 m²Planta 2ª exterior con ascensor,1/30,,/pro/idealista-personinmobiliariavalencia-1609414533630/,algiros,valencia,/inmueble/106035580/,
2024-10-14,"Piso en avenida de Blasco Ibáñez, La Carrasca, València",1.700€/mes1.900 €11%,2 hab.100 m²Planta 19ª exterior con ascensor,1/24,,/pro/inmoaroa/,algiros,valencia,/inmueble/105277126/,
2024-10-14,"Piso en calle del Poeta Mas y Ros, L'Illa Perduda, València",1.100€/mes,3 hab.86 m²Planta 2ª exterior con ascensor,1/23,,/pro/engelvalencia/,algiros,valencia,/inmueble/105531187/,
2024-10-14,"Piso en calle de Ramon Llull, La Vega Baixa, València",1.300€/mes,3 hab.90 m²Planta 7ª exterior con ascensor,1/23,,/pro/idealista-apropertiesvalencia/,algiros,valencia,/inmueble/105986267/,
2024-10-14,"Piso en avenida de Blasco Ibáñez, La Vega Baixa, València",2.600€/mes,4 hab.140 m²Planta 7ª exterior con ascensor,1/33,,/pro/p04612448/,algiros,valencia,/inmueble/105371916/,
2024-10-14,"Piso en calle de Campoamor, L'Illa Perduda, València",1.500€/mes,3 hab.115 m²Planta 4ª exterior con ascensor,1/21,,/pro/p04612448/,algiros,valencia,/inmueble/105140644/,
