date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-16,"Piso en calle Heraclio Alfaro, Aranzabela - Aranbizkarra, Vitoria-Gasteiz",1.170€/mesGaraje incluido,3 hab.108 m²Planta 10ª exterior con ascensor11 oct,1/38,,/pro/etikalia/,aranzabela-aranbizkarra,vitoria-gasteiz,/inmueble/106237339/,
2024-10-16,"Piso en calle Salbaterrabide, 26, Armentia - Ciudad Jardín, Vitoria-Gasteiz",2.000€/mesGaraje incluido,3 hab.149 m²Planta 2ª exterior con ascensor10 oct,1/40,,,armentia-ciudad-jardin,vitoria-gasteiz,/inmueble/106218489/,
2024-10-16,"Piso en Uleta, 1, Armentia - Ciudad Jardín, Vitoria-Gasteiz",1.197€/mesGarajeopc.104 €/mes,2 hab.85 m²Planta 3ª exterior con ascensor,1/12,,,armentia-ciudad-jardin,vitoria-gasteiz,/inmueble/96630834/,
2024-10-16,"Piso en calle Uleta, 1, Armentia - Ciudad Jardín, Vitoria-Gasteiz",1.087€/mesGarajeopc.104 €/mes,1 hab.60 m²Planta 3ª exterior con ascensor,1/9,Apartamento,,armentia-ciudad-jardin,vitoria-gasteiz,/inmueble/96620102/,
2024-10-16,"Piso en Cervantes Ibilbidea, Armentia - Ciudad Jardín, Vitoria-Gasteiz",1.650€/mesGaraje incluido,5 hab.250 m²Planta 3ª exterior con ascensor,1/22,,/pro/fincas-anitua/,armentia-ciudad-jardin,vitoria-gasteiz,/inmueble/104911565/,
2024-10-16,"Piso en calle Los Buesa, Armentia - Ciudad Jardín, Vitoria-Gasteiz",1.300€/mes,1 hab.68 m²Bajo exterior con ascensor,1/16,,/pro/sia/,armentia-ciudad-jardin,vitoria-gasteiz,/inmueble/103876720/,
2024-10-16,"Piso en calle Maite Zuñiga Kalea, Armentia - Ciudad Jardín, Vitoria-Gasteiz",800€/mesGaraje incluido,2 hab.65 m²Planta 1ª exterior con ascensor,1/13,,,armentia-ciudad-jardin,vitoria-gasteiz,/inmueble/106073631/,
2024-10-16,"Piso en Herrería, 14, Casco Viejo, Vitoria-Gasteiz",1.400€/mes,3 hab.70 m²Planta 4ª exterior con ascensor,1/32,Alquiler de temporada,,casco-viejo,vitoria-gasteiz,/inmueble/105851276/,
2024-10-16,"Piso en Canton San Francisco Javier, 2, Casco Viejo, Vitoria-Gasteiz",750€/mes,2 hab.53 m²Planta 3ª exterior sin ascensor09 oct,1/10,,,casco-viejo,vitoria-gasteiz,/inmueble/106216034/,
2024-10-16,"Estudio en calle Errementari, 14, Casco Viejo, Vitoria-Gasteiz",695€/mes,40 m²Planta 1ª exterior con ascensor,1/1,Alquiler de temporada,,casco-viejo,vitoria-gasteiz,/inmueble/105604993/,
