date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-15,"Piso en calle de Miguel de Unamuno, Parque de los Cineastas, Zaragoza",1.000€/mes,4 hab.104 m²Planta 1ª exterior con ascensor09 oct,1/26,,/pro/garlan-inmobiliaria/,actur,zaragoza,/inmueble/106210626/,
2024-10-15,"Piso en calle de Pablo Ruiz Picasso, 56, Ranillas, Zaragoza",940€/mesGaraje incluido,4 hab.98 m²Planta 1ª exterior con ascensor,1/52,,,actur,zaragoza,/inmueble/105997061/,
2024-10-15,"Piso en plaza Ortilla, 6, Ranillas, Zaragoza",800€/mes870 €8%,3 hab.87 m²Planta 5ª exterior con ascensor,1/21,,/pro/p08106265/,actur,zaragoza,/inmueble/105706342/,
2024-10-15,"Piso en calle de Gertrudis Gómez de Avellaneda, Grancasa, Zaragoza",990€/mesGaraje incluido,3 hab.125 m²Planta 7ª exterior con ascensor,1/26,,/pro/p08108798/,actur,zaragoza,/inmueble/106187030/,
2024-10-15,"Piso en calle de María Montessori, 14, Grancasa, Zaragoza",1.000€/mesGaraje incluido,5 hab.140 m²Planta 4ª exterior con ascensor,1/22,,,actur,zaragoza,/inmueble/106184941/,
2024-10-15,"Piso en calle Cineasta Carlos Saura, Parque de los Cineastas, Zaragoza",680€/mes,1 hab.53 m²Planta 11ª exterior con ascensor11 oct,1/9,Apartamento,,actur,zaragoza,/inmueble/106230792/,
2024-10-15,"Piso en calle de León Felipe, Grancasa, Zaragoza",980€/mes,3 hab.77 m²Planta 1ª exterior con ascensor,1/22,,,actur,zaragoza,/inmueble/105600282/,
2024-10-15,"Piso en calle de Valero Julián Ripol Urbano, s/n, Grancasa, Zaragoza",800€/mes,3 hab.80 m²Planta 12ª exterior con ascensor,1/18,,,actur,zaragoza,/inmueble/31051567/,
2024-10-15,"Piso en calle Cineasta Carlos Saura, 17, Parque de los Cineastas, Zaragoza",950€/mesGaraje incluido,4 hab.137 m²Planta 4ª exterior con ascensor,1/22,,,actur,zaragoza,/inmueble/106174076/,
2024-10-15,"Ático en avenida Clara Campoamor, 11, Ranillas, Zaragoza",1.175€/mesGaraje incluido,2 hab.200 m²Planta 8ª exterior con ascensor,1/27,,,actur,zaragoza,/inmueble/1648122/,
2024-10-15,"Piso en calle de Francisco Martínez Soria, Ranillas, Zaragoza",850€/mesGaraje incluido,3 hab.79 m²Planta 1ª exterior con ascensor,1/19,,,actur,zaragoza,/inmueble/106189445/,
2024-10-15,"Piso en calle de Nicolás Guillén, Grancasa, Zaragoza",850€/mesGaraje incluido,3 hab.98 m²Planta 6ª con ascensor,1/9,,,actur,zaragoza,/inmueble/105582444/,
2024-10-15,"Piso en calle de Gertrudis Gómez de Avellaneda, 57, Grancasa, Zaragoza",900€/mes950 €5%,3 hab.104 m²Planta 4ª exterior con ascensor,1/10,,,actur,zaragoza,/inmueble/105360290/,
2024-10-15,"Piso en calle de Nicolás Guillén, Grancasa, Zaragoza",850€/mesGaraje incluido,3 hab.98 m²Planta 6ª exterior con ascensor,1/9,,,actur,zaragoza,/inmueble/105707272/,
2024-10-15,"Ático en calle de Clara Campoamor, Ranillas, Zaragoza",1.175€/mesGaraje incluido,2 hab.200 m²Planta 8ª exterior con ascensor,1/29,,,actur,zaragoza,/inmueble/104747796/,
2024-10-15,"Piso en avenida de José Atarés, 4, Ranillas, Zaragoza",1.650€/mes,2 hab.75 m²Planta 3ª exterior con ascensor,1/8,Alquiler de temporada,,actur,zaragoza,/inmueble/106159433/,
2024-10-15,"Piso en calle María Espinosa, 4, Ranillas, Zaragoza",875€/mes,3 hab.102 m²Planta 1ª exterior con ascensor,1/11,,,actur,zaragoza,/inmueble/29593152/,
2024-10-15,"Piso en calle Pablo Iglesias, 12, Parque de los Cineastas, Zaragoza",950€/mes,4 hab.90 m²Planta 5ª exterior con ascensor,1/7,,,actur,zaragoza,/inmueble/86342382/,
2024-10-15,"Piso en avenida de la Almozara, 7, Almozara, Zaragoza",925€/mesGaraje incluido,3 hab.88 m²Planta 4ª exterior con ascensor09 oct,1/30,,/pro/logarinmobiliaria/,almozara,zaragoza,/inmueble/104281774/,
2024-10-15,"Piso en avenida de San Juan de la Peña, 12, Arrabal, Zaragoza",900€/mes,3 hab.79 m²Planta 5ª exterior con ascensor3 horas,1/23,,,arrabal-barrio-jesus,zaragoza,/inmueble/106261170/,
2024-10-15,"Piso en Barrio Jesús, Zaragoza",700€/mes,2 hab.60 m²Planta 3ª exterior con ascensor5 horas,1/31,,,arrabal-barrio-jesus,zaragoza,/inmueble/106260669/,
2024-10-15,"Piso en calle de Alfonso Solans, 3, Barrio Jesús, Zaragoza",1.100€/mesGaraje incluido,3 hab.129 m²Planta 1ª exterior con ascensor09 oct,1/37,,,arrabal-barrio-jesus,zaragoza,/inmueble/106207927/,
2024-10-15,"Piso en Barrio Jesús, Zaragoza",670€/mes,3 hab.67 m²Planta 1ª exterior sin ascensor,1/25,Reformado,,arrabal-barrio-jesus,zaragoza,/inmueble/105953064/,
2024-10-15,"Piso en avenida de los Pirineos, Arrabal, Zaragoza",850€/mes900 €6%,3 hab.90 m²Planta 1ª exterior con ascensor,1/23,,,arrabal-barrio-jesus,zaragoza,/inmueble/105891501/,
