barrio,city,temporal,total
abando-albia,bilbao,0.0847457627118644,118
agra-del-orzan-ventorrillo,a-coruna,0.425,40
aiete,donostia-san-sebastian,0.14285714285714285,14
algiros,valencia,0.26119402985074625,134
altza-bidebieta,donostia-san-sebastian,0.16666666666666666,12
amara,donostia-san-sebastian,0.16129032258064516,31
anorga,donostia-san-sebastian,0,2
antiguo,donostia-san-sebastian,0.17857142857142858,28
arganzuela,madrid,0.09912536443148688,343
ategorrieta-ulia,donostia-san-sebastian,0.3333333333333333,3
bailen-miraflores,malaga,0.18085106382978725,94
barajas,madrid,0.037037037037037035,54
barrio-de-salamanca,madrid,0.07080504364694472,1031
basurto-zorroza,bilbao,0.2857142857142857,21
begona-santutxu,bilbao,0.2,10
bellavista-jardines-de-hercules,sevilla,0.14285714285714285,14
benicalap,valencia,0.07692307692307693,52
benimaclet,valencia,0.0851063829787234,47
camins-al-grau,valencia,0.1210762331838565,223
campanar,valencia,0.10714285714285714,56
campanillas,malaga,0.19230769230769232,26
carabanchel,madrid,0.06395348837209303,172
carretera-de-cadiz,malaga,0.2721518987341772,158
casco-viejo,bilbao,0.2,25
centro,madrid,0.15677966101694915,1416
centro,malaga,0.20404040404040405,495
centro,sevilla,0.11854103343465046,329
centro-miraconcha,donostia-san-sebastian,0.16326530612244897,98
cerro-amate,sevilla,0.18309859154929578,71
chamartin,madrid,0.05222437137330754,517
chamberi,madrid,0.07885304659498207,837
churriana,malaga,0.2413793103448276,29
ciudad-jardin,malaga,0.07692307692307693,26
ciudad-lineal,madrid,0.12167300380228137,263
ciudad-vieja-centro,a-coruna,0.038461538461538464,52
ciutat-antigua,palma-de-mallorca,0.13978494623655913,186
ciutat-vella,barcelona,0.21742112482853224,1458
ciutat-vella,valencia,0.1320754716981132,477
cruz-de-humilladero,malaga,0.29069767441860467,86
cuatro-caminos-plaza-de-la-cubela,a-coruna,0.09090909090909091,44
deusto,bilbao,0.37037037037037035,27
egia,donostia-san-sebastian,0.2222222222222222,9
eiris,a-coruna,0.043478260869565216,23
eixample,barcelona,0.25096227867590454,1299
el-pla-del-real,valencia,0.11538461538461539,78
elvina-a-zapateira,a-coruna,0,1
ensanche-juan-florez,a-coruna,0.09090909090909091,121
es-forti-son-cotoner-son-dameto,palma-de-mallorca,0.21052631578947367,57
establiments-son-sardina,palma-de-mallorca,0.2222222222222222,9
este,malaga,0.14798206278026907,223
extramurs,valencia,0.13716814159292035,226
fuencarral,madrid,0.02586206896551724,232
genova-bonanova-sant-agusti,palma-de-mallorca,0.15,120
gracia,barcelona,0.254416961130742,283
gros,donostia-san-sebastian,0.3488372093023256,43
horta-guinardo,barcelona,0.375,96
hortaleza,madrid,0.018518518518518517,270
ibaeta,donostia-san-sebastian,0.125,8
ibaiondo,bilbao,0.2727272727272727,22
igeldo,donostia-san-sebastian,0.3333333333333333,3
