barrio,habs,exterior,price,city,n
arganzuela,0 o 1,FALSE,1266.3,Madrid,35
arganzuela,0 o 1,TRUE,1381.2,Madrid,97
arganzuela,2 o 3,FALSE,1506.2,Madrid,35
arganzuela,2 o 3,TRUE,1777.6,Madrid,174
arganzuela,4 o más,TRUE,3990,Madrid,2
barajas,0 o 1,FALSE,850,Madrid,1
barajas,0 o 1,TRUE,1132,Madrid,10
barajas,2 o 3,FALSE,1525,Madrid,2
barajas,2 o 3,TRUE,1569.4,Madrid,34
barajas,4 o más,FALSE,3218.8,Madrid,4
barajas,4 o más,TRUE,1883.3,Madrid,3
barrio-de-salamanca,0 o 1,FALSE,1637.5,Madrid,105
barrio-de-salamanca,0 o 1,TRUE,2007.2,Madrid,173
barrio-de-salamanca,2 o 3,FALSE,2723.1,Madrid,164
barrio-de-salamanca,2 o 3,TRUE,3713.3,Madrid,476
barrio-de-salamanca,4 o más,FALSE,5049.5,Madrid,11
barrio-de-salamanca,4 o más,TRUE,5088.8,Madrid,102
carabanchel,0 o 1,FALSE,1266.9,Madrid,12
carabanchel,0 o 1,TRUE,1054.9,Madrid,56
carabanchel,2 o 3,FALSE,1232.5,Madrid,4
carabanchel,2 o 3,TRUE,1206.9,Madrid,94
carabanchel,4 o más,FALSE,2950,Madrid,2
carabanchel,4 o más,TRUE,2156.2,Madrid,4
centro,0 o 1,FALSE,1419.9,Madrid,283
centro,0 o 1,TRUE,1729.2,Madrid,402
centro,2 o 3,FALSE,2265.2,Madrid,142
centro,2 o 3,TRUE,3004.7,Madrid,546
centro,4 o más,FALSE,3280,Madrid,3
centro,4 o más,TRUE,4017.6,Madrid,40
chamartin,0 o 1,FALSE,1547.6,Madrid,33
chamartin,0 o 1,TRUE,1646.9,Madrid,136
chamartin,2 o 3,FALSE,2240.3,Madrid,34
chamartin,2 o 3,TRUE,2529.7,Madrid,233
chamartin,4 o más,FALSE,5183.3,Madrid,6
chamartin,4 o más,TRUE,4205.4,Madrid,75
chamberi,0 o 1,FALSE,1449.3,Madrid,116
chamberi,0 o 1,TRUE,1874.9,Madrid,168
chamberi,2 o 3,FALSE,2153.4,Madrid,108
chamberi,2 o 3,TRUE,3190.9,Madrid,346
chamberi,4 o más,FALSE,3183.3,Madrid,6
chamberi,4 o más,TRUE,4448.5,Madrid,93
ciudad-lineal,0 o 1,FALSE,1631.8,Madrid,13
ciudad-lineal,0 o 1,TRUE,1338,Madrid,63
ciudad-lineal,2 o 3,FALSE,1691.7,Madrid,3
ciudad-lineal,2 o 3,TRUE,1536,Madrid,148
ciudad-lineal,4 o más,FALSE,4000,Madrid,4
ciudad-lineal,4 o más,TRUE,2835,Madrid,32
ciutat-vella,0 o 1,FALSE,1578.8,Barcelona,182
ciutat-vella,0 o 1,TRUE,1804.6,Barcelona,384
ciutat-vella,2 o 3,FALSE,2049.2,Barcelona,147
ciutat-vella,2 o 3,TRUE,2385.1,Barcelona,703
ciutat-vella,4 o más,FALSE,3510,Barcelona,5
ciutat-vella,4 o más,TRUE,3184.1,Barcelona,37
eixample,0 o 1,FALSE,2008.7,Barcelona,66
eixample,0 o 1,TRUE,2486.1,Barcelona,201
eixample,2 o 3,FALSE,2566.4,Barcelona,130
eixample,2 o 3,TRUE,3026.6,Barcelona,761
eixample,4 o más,FALSE,3865.4,Barcelona,15
eixample,4 o más,TRUE,4219.4,Barcelona,126
fuencarral,0 o 1,FALSE,1113,Madrid,2
fuencarral,0 o 1,TRUE,1334.1,Madrid,47
fuencarral,2 o 3,FALSE,2000.6,Madrid,5
fuencarral,2 o 3,TRUE,1676.2,Madrid,124
fuencarral,4 o más,FALSE,4505.7,Madrid,22
fuencarral,4 o más,TRUE,2798.1,Madrid,32
gracia,0 o 1,FALSE,1767.4,Barcelona,22
gracia,0 o 1,TRUE,1846.5,Barcelona,56
gracia,2 o 3,FALSE,3194.3,Barcelona,37
gracia,2 o 3,TRUE,2932.3,Barcelona,151
gracia,4 o más,FALSE,2928.6,Barcelona,7
gracia,4 o más,TRUE,2717,Barcelona,10
horta-guinardo,0 o 1,FALSE,1450,Barcelona,2
horta-guinardo,0 o 1,TRUE,1498.5,Barcelona,24
horta-guinardo,2 o 3,FALSE,2056.1,Barcelona,14
horta-guinardo,2 o 3,TRUE,1684.8,Barcelona,41
horta-guinardo,4 o más,FALSE,3175.9,Barcelona,9
horta-guinardo,4 o más,TRUE,2480.2,Barcelona,6
hortaleza,0 o 1,FALSE,1136.7,Madrid,3
hortaleza,0 o 1,TRUE,1327.2,Madrid,69
hortaleza,2 o 3,FALSE,2245.6,Madrid,8
hortaleza,2 o 3,TRUE,1874.1,Madrid,160
hortaleza,4 o más,FALSE,5200,Madrid,10
hortaleza,4 o más,TRUE,2720,Madrid,20
latina,0 o 1,FALSE,1167,Madrid,9
latina,0 o 1,TRUE,1092.5,Madrid,46
latina,2 o 3,FALSE,1203,Madrid,5
latina,2 o 3,TRUE,1338.8,Madrid,68
latina,4 o más,TRUE,2025,Madrid,11
les-corts,0 o 1,FALSE,2122.5,Barcelona,4
les-corts,0 o 1,TRUE,1848.2,Barcelona,22
les-corts,2 o 3,FALSE,2094,Barcelona,15
les-corts,2 o 3,TRUE,2885.5,Barcelona,65
les-corts,4 o más,FALSE,5652.3,Barcelona,7
les-corts,4 o más,TRUE,5538.4,Barcelona,54
moncloa,0 o 1,FALSE,1256.9,Madrid,23
moncloa,0 o 1,TRUE,1437.1,Madrid,73
moncloa,2 o 3,FALSE,1863.7,Madrid,23
moncloa,2 o 3,TRUE,2397.8,Madrid,137
moncloa,4 o más,FALSE,6525,Madrid,20
moncloa,4 o más,TRUE,3409.5,Madrid,29
moratalaz,0 o 1,TRUE,1016.7,Madrid,3
moratalaz,2 o 3,FALSE,1450,Madrid,1
moratalaz,2 o 3,TRUE,1193.9,Madrid,14
moratalaz,4 o más,TRUE,1900,Madrid,1
nou-barris,0 o 1,FALSE,2300,Barcelona,1
nou-barris,0 o 1,TRUE,1015.2,Barcelona,5
nou-barris,2 o 3,FALSE,1362.5,Barcelona,4
nou-barris,2 o 3,TRUE,1457.2,Barcelona,20
nou-barris,4 o más,TRUE,1616.7,Barcelona,3
puente-de-vallecas,0 o 1,FALSE,934.9,Madrid,9
puente-de-vallecas,0 o 1,TRUE,1104.2,Madrid,18
puente-de-vallecas,2 o 3,FALSE,1130,Madrid,3
puente-de-vallecas,2 o 3,TRUE,1098.2,Madrid,81
puente-de-vallecas,4 o más,TRUE,1240,Madrid,2
retiro,0 o 1,FALSE,1527.4,Madrid,41
retiro,0 o 1,TRUE,1917.4,Madrid,48
retiro,2 o 3,FALSE,2004.5,Madrid,39
retiro,2 o 3,TRUE,2809.9,Madrid,172
retiro,4 o más,FALSE,3668,Madrid,5
retiro,4 o más,TRUE,3846,Madrid,57
san-blas,0 o 1,FALSE,1108,Madrid,5
san-blas,0 o 1,TRUE,1027.2,Madrid,46
san-blas,2 o 3,FALSE,1900,Madrid,2
san-blas,2 o 3,TRUE,1263.5,Madrid,80
san-blas,4 o más,FALSE,3492.5,Madrid,4
san-blas,4 o más,TRUE,2416.7,Madrid,3
sant-andreu,0 o 1,FALSE,1819,Barcelona,5
sant-andreu,0 o 1,TRUE,1184.6,Barcelona,13
sant-andreu,2 o 3,FALSE,1833.8,Barcelona,4
sant-andreu,2 o 3,TRUE,1626.7,Barcelona,15
sant-andreu,4 o más,TRUE,1748.8,Barcelona,4
sant-marti,0 o 1,FALSE,1550.9,Barcelona,16
sant-marti,0 o 1,TRUE,1994,Barcelona,74
sant-marti,2 o 3,FALSE,2274.3,Barcelona,30
sant-marti,2 o 3,TRUE,2886.5,Barcelona,203
sant-marti,4 o más,TRUE,4653.9,Barcelona,32
sants-montjuic,0 o 1,FALSE,1415.4,Barcelona,27
