barrio,size,price,city
abando-albia,Entre 100 y 150 m²,1998.9,Bilbao
abando-albia,Entre 50 y 100 m²,1358.1,Bilbao
abando-albia,Menos de 50 m²,1125,Bilbao
abando-albia,Más de 150 m²,2669.1,Bilbao
agra-del-orzan-ventorrillo,Entre 100 y 150 m²,1051.8,A Coruña
agra-del-orzan-ventorrillo,Entre 50 y 100 m²,802.7,A Coruña
agra-del-orzan-ventorrillo,Menos de 50 m²,710,A Coruña
aiete,Entre 100 y 150 m²,1607.1,San sebastián
aiete,Entre 50 y 100 m²,1357.1,San sebastián
aiete,Más de 150 m²,1850,San sebastián
altza-bidebieta,Entre 100 y 150 m²,1500,San sebastián
altza-bidebieta,Entre 50 y 100 m²,1450,San sebastián
altza-bidebieta,Más de 150 m²,3050,San sebastián
amara,Entre 100 y 150 m²,2014.3,San sebastián
amara,Entre 50 y 100 m²,1445,San sebastián
amara,Menos de 50 m²,1450,San sebastián
anorga,Más de 150 m²,2800,San sebastián
antiguo,Entre 100 y 150 m²,2265.4,San sebastián
antiguo,Entre 50 y 100 m²,1648.8,San sebastián
antiguo,Menos de 50 m²,1200,San sebastián
antiguo,Más de 150 m²,2600,San sebastián
arganzuela,Entre 100 y 150 m²,2054.9,Madrid
arganzuela,Entre 50 y 100 m²,1552.5,Madrid
arganzuela,Menos de 50 m²,1240.4,Madrid
arganzuela,Más de 150 m²,3732.5,Madrid
ategorrieta-ulia,Entre 50 y 100 m²,1275,San sebastián
ategorrieta-ulia,Más de 150 m²,2900,San sebastián
bailen-miraflores,Entre 100 y 150 m²,1215.3,Málaga
bailen-miraflores,Entre 50 y 100 m²,1039.4,Málaga
bailen-miraflores,Menos de 50 m²,915,Málaga
bailen-miraflores,Más de 150 m²,1396.7,Málaga
barajas,Entre 100 y 150 m²,1697.5,Madrid
barajas,Entre 50 y 100 m²,1295.5,Madrid
barajas,Menos de 50 m²,1041.2,Madrid
barajas,Más de 150 m²,2705,Madrid
barrio-de-salamanca,Entre 100 y 150 m²,3708.4,Madrid
barrio-de-salamanca,Entre 50 y 100 m²,2310,Madrid
barrio-de-salamanca,Menos de 50 m²,1516.2,Madrid
barrio-de-salamanca,Más de 150 m²,5321.8,Madrid
basurto-zorroza,Entre 100 y 150 m²,1726.7,Bilbao
basurto-zorroza,Entre 50 y 100 m²,1271.8,Bilbao
basurto-zorroza,Menos de 50 m²,1150,Bilbao
begona-santutxu,Entre 100 y 150 m²,1324.6,Bilbao
begona-santutxu,Entre 50 y 100 m²,1200,Bilbao
begona-santutxu,Menos de 50 m²,800,Bilbao
begona-santutxu,Más de 150 m²,2000,Bilbao
benalua-la-florida-babel-san-gabriel,Entre 100 y 150 m²,1203.3,NA
benalua-la-florida-babel-san-gabriel,Entre 50 y 100 m²,964.7,NA
benalua-la-florida-babel-san-gabriel,Menos de 50 m²,744.2,NA
benalua-la-florida-babel-san-gabriel,Más de 150 m²,2066.7,NA
campanillas,Entre 100 y 150 m²,1595,Málaga
campanillas,Entre 50 y 100 m²,853.6,Málaga
campanillas,Menos de 50 m²,516.7,Málaga
campanillas,Más de 150 m²,1293.3,Málaga
campoamor-carolinas-altozano,Entre 100 y 150 m²,1078.5,NA
campoamor-carolinas-altozano,Entre 50 y 100 m²,961.4,NA
campoamor-carolinas-altozano,Menos de 50 m²,747.5,NA
campoamor-carolinas-altozano,Más de 150 m²,1691.7,NA
carabanchel,Entre 100 y 150 m²,1614.6,Madrid
carabanchel,Entre 50 y 100 m²,1138.7,Madrid
carabanchel,Menos de 50 m²,1100.4,Madrid
carabanchel,Más de 150 m²,2837.5,Madrid
carretera-de-cadiz,Entre 100 y 150 m²,2100.2,Málaga
carretera-de-cadiz,Entre 50 y 100 m²,1358.2,Málaga
carretera-de-cadiz,Menos de 50 m²,852,Málaga
carretera-de-cadiz,Más de 150 m²,3924.8,Málaga
casco-viejo,Entre 100 y 150 m²,1560.7,Bilbao
casco-viejo,Entre 50 y 100 m²,1458.8,Bilbao
casco-viejo,Menos de 50 m²,480,Bilbao
casco-viejo,Más de 150 m²,3050,Bilbao
centro,Entre 100 y 150 m²,2599.4,NA
centro,Entre 100 y 150 m²,2599.4,Madrid
centro,Entre 50 y 100 m²,1882.5,NA
centro,Entre 50 y 100 m²,1882.5,Madrid
centro,Menos de 50 m²,1289.6,NA
centro,Menos de 50 m²,1289.6,Madrid
centro,Más de 150 m²,3516.4,NA
centro,Más de 150 m²,3516.4,Madrid
centro-miraconcha,Entre 100 y 150 m²,3405.6,San sebastián
centro-miraconcha,Entre 50 y 100 m²,2016.5,San sebastián
centro-miraconcha,Más de 150 m²,3968.2,San sebastián
chamartin,Entre 100 y 150 m²,2570.8,Madrid
chamartin,Entre 50 y 100 m²,1840,Madrid
chamartin,Menos de 50 m²,1490.8,Madrid
chamartin,Más de 150 m²,4438.7,Madrid
chamberi,Entre 100 y 150 m²,3171.6,Madrid
chamberi,Entre 50 y 100 m²,2102.5,Madrid
chamberi,Menos de 50 m²,1334.2,Madrid
chamberi,Más de 150 m²,4722.3,Madrid
ciudad-lineal,Entre 100 y 150 m²,1934.6,Madrid
ciudad-lineal,Entre 50 y 100 m²,1395.3,Madrid
ciudad-lineal,Menos de 50 m²,1180.6,Madrid
ciudad-lineal,Más de 150 m²,3098.5,Madrid
ciudad-vieja-centro,Entre 100 y 150 m²,1725,A Coruña
ciudad-vieja-centro,Entre 50 y 100 m²,929.6,A Coruña
ciudad-vieja-centro,Menos de 50 m²,801.7,A Coruña
ciudad-vieja-centro,Más de 150 m²,2132.5,A Coruña
ciutat-vella,Entre 100 y 150 m²,2991.2,Barcelona
ciutat-vella,Entre 50 y 100 m²,2039.2,Barcelona
ciutat-vella,Menos de 50 m²,1432.3,Barcelona
ciutat-vella,Más de 150 m²,3669.7,Barcelona
cuatro-caminos-plaza-de-la-cubela,Entre 100 y 150 m²,1126.1,A Coruña
cuatro-caminos-plaza-de-la-cubela,Entre 50 y 100 m²,1017.3,A Coruña
cuatro-caminos-plaza-de-la-cubela,Menos de 50 m²,662.5,A Coruña
cuatro-caminos-plaza-de-la-cubela,Más de 150 m²,1563.3,A Coruña
deusto,Entre 100 y 150 m²,1512.5,Bilbao
deusto,Entre 50 y 100 m²,1200.8,Bilbao
deusto,Menos de 50 m²,1016.7,Bilbao
deusto,Más de 150 m²,2433.3,Bilbao
egia,Entre 50 y 100 m²,1598.1,San sebastián
egia,Menos de 50 m²,750,San sebastián
eiris,Entre 100 y 150 m²,831.7,A Coruña
eiris,Entre 50 y 100 m²,798.9,A Coruña
eiris,Menos de 50 m²,680,A Coruña
eixample,Entre 100 y 150 m²,3347.5,Barcelona
eixample,Entre 50 y 100 m²,2613.7,Barcelona
eixample,Menos de 50 m²,1811.2,Barcelona
eixample,Más de 150 m²,4973.4,Barcelona
elvina-a-zapateira,Entre 50 y 100 m²,690,A Coruña
ensanche-juan-florez,Entre 100 y 150 m²,1275.3,A Coruña
ensanche-juan-florez,Entre 50 y 100 m²,988.5,A Coruña
ensanche-juan-florez,Menos de 50 m²,785.6,A Coruña
ensanche-juan-florez,Más de 150 m²,1790.5,A Coruña
fuencarral,Entre 100 y 150 m²,2001.1,Madrid
fuencarral,Entre 50 y 100 m²,1340.8,Madrid
fuencarral,Menos de 50 m²,1043.1,Madrid
fuencarral,Más de 150 m²,3493.4,Madrid
gracia,Entre 100 y 150 m²,3130.6,Barcelona
gracia,Entre 50 y 100 m²,2392,Barcelona
gracia,Menos de 50 m²,1376.6,Barcelona
gracia,Más de 150 m²,4550.3,Barcelona
gros,Entre 100 y 150 m²,2902.9,San sebastián
gros,Entre 50 y 100 m²,1769.6,San sebastián
gros,Menos de 50 m²,1000,San sebastián
gros,Más de 150 m²,4475,San sebastián
horta-guinardo,Entre 100 y 150 m²,2304,Barcelona
horta-guinardo,Entre 50 y 100 m²,1630.5,Barcelona
horta-guinardo,Menos de 50 m²,971.5,Barcelona
horta-guinardo,Más de 150 m²,3550,Barcelona
hortaleza,Entre 100 y 150 m²,1940.5,Madrid
hortaleza,Entre 50 y 100 m²,1566.4,Madrid
hortaleza,Menos de 50 m²,1181.4,Madrid
hortaleza,Más de 150 m²,3435.6,Madrid
ibaeta,Entre 100 y 150 m²,1650,San sebastián
ibaeta,Entre 50 y 100 m²,1676,San sebastián
ibaeta,Más de 150 m²,3200,San sebastián
ibaiondo,Entre 100 y 150 m²,1640,Bilbao
ibaiondo,Entre 50 y 100 m²,1307.7,Bilbao
ibaiondo,Menos de 50 m²,662.5,Bilbao
igeldo,Entre 50 y 100 m²,1650,San sebastián
igeldo,Menos de 50 m²,1050,San sebastián
